GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,Flash,21,316,6,23,9,52,6,26,3,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,InvalidImageException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,Unit,0,69,0,4,0,14,0,7,0,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageOrientation,0,134,0,9,0,24,0,12,0,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,BuildInfo,12,113,2,4,4,31,2,11,0,10
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageReader,147,882,88,144,46,275,81,48,1,12
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ThumbnailFormat,0,123,0,19,0,29,0,16,0,5
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageFormat,0,54,0,0,0,6,0,1,0,1
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageMetadata,0,199,0,0,0,85,0,57,0,57
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,LightSource,0,290,0,21,0,48,0,24,0,4
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ImageReaderResult,0,62,0,0,0,26,0,17,0,17
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,GPSCoordinates,0,73,0,6,0,22,0,15,0,12
com.irurueta:irurueta-server-commons-image,com.irurueta.server.commons.image,ThumbnailCreator,23,314,9,31,7,84,9,17,1,4
